a,b,c
-0.681544602158159,-0.670388248003114,0.2
-0.681544602158159,-0.670388248003114,0.2
-0.831544602158159,-0.470388248003114,0.2
-0.831544602158159,-0.470388248003114,0.2
-0.531544602158159,-0.470388248003114,0.2
-0.531544602158159,-0.470388248003114,0.2
-0.678583493647726,-0.686883520026016,0.2
-0.678583493647726,-0.686883520026016,0.2
-0.828583493647726,-0.486883520026016,0.2
-0.828583493647726,-0.486883520026016,0.2
-0.678583493647726,-0.486883520026016,0.2
-0.678583493647726,-0.486883520026016,0.2
-0.678060791652419,-0.660722816620649,0.2
-0.678060791652419,-0.660722816620649,0.2
-0.528060791652419,-0.460722816620649,0.2
-0.528060791652419,-0.460722816620649,0.2
-0.828060791652419,-0.460722816620649,0.2
-0.828060791652419,-0.460722816620649,0.2
-0.664173008639451,-0.686784090816237,0.2
-0.664173008639451,-0.686784090816237,0.2
-0.514173008639451,-0.486784090816237,0.2
-0.514173008639451,-0.486784090816237,0.2
-0.664173008639451,-0.486784090816237,0.2
-0.664173008639451,-0.486784090816237,0.2
-0.694317520126882,-0.689301441204687,0.2
-0.694317520126882,-0.689301441204687,0.2
-0.694317520126882,-0.489301441204687,0.2
-0.694317520126882,-0.489301441204687,0.2
-0.844317520126882,-0.489301441204687,0.2
-0.844317520126882,-0.489301441204687,0.2
-0.654804011406541,-0.696281599262172,0.2
-0.654804011406541,-0.696281599262172,0.2
-0.654804011406541,-0.496281599262172,0.2
-0.654804011406541,-0.496281599262172,0.2
-0.504804011406541,-0.496281599262172,0.2
-0.504804011406541,-0.496281599262172,0.2
-0.829876826974069,-0.492450742298447,0.2
-0.829876826974069,-0.492450742298447,0.2
-0.679876826974069,-0.692450742298447,0.2
-0.679876826974069,-0.692450742298447,0.2
-0.529876826974069,-0.492450742298447,0.2
-0.529876826974069,-0.492450742298447,0.2
-0.823264678705612,-0.463138894979326,0.2
-0.823264678705612,-0.463138894979326,0.2
-0.673264678705612,-0.663138894979326,0.2
-0.673264678705612,-0.663138894979326,0.2
-0.673264678705612,-0.463138894979326,0.2
-0.673264678705612,-0.463138894979326,0.2
-0.803357856228282,-0.47868571956626,0.2
-0.803357856228282,-0.47868571956626,0.2
-0.503357856228282,-0.47868571956626,0.2
-0.503357856228282,-0.47868571956626,0.2
-0.653357856228282,-0.67868571956626,0.2
-0.653357856228282,-0.67868571956626,0.2
-0.834134617987122,-0.485918375000598,0.2
-0.834134617987122,-0.485918375000598,0.2
-0.534134617987122,-0.485918375000598,0.2
-0.534134617987122,-0.485918375000598,0.2
-0.684134617987122,-0.485918375000598,0.2
-0.684134617987122,-0.485918375000598,0.2
-0.810652346469064,-0.464755532246343,0.2
-0.810652346469064,-0.464755532246343,0.2
-0.660652346469064,-0.464755532246343,0.2
-0.660652346469064,-0.464755532246343,0.2
-0.660652346469064,-0.664755532246343,0.2
-0.660652346469064,-0.664755532246343,0.2
-0.816972965678059,-0.470456947569113,0.2
-0.816972965678059,-0.470456947569113,0.2
-0.666972965678059,-0.470456947569113,0.2
-0.666972965678059,-0.470456947569113,0.2
-0.516972965678059,-0.470456947569113,0.2
-0.516972965678059,-0.470456947569113,0.2
-0.536712045549859,-0.493822057980709,0.2
-0.536712045549859,-0.493822057980709,0.2
-0.686712045549859,-0.693822057980709,0.2
-0.686712045549859,-0.693822057980709,0.2
-0.836712045549859,-0.493822057980709,0.2
-0.836712045549859,-0.493822057980709,0.2
-0.517076332724421,-0.463214315612221,0.2
-0.517076332724421,-0.463214315612221,0.2
-0.667076332724421,-0.663214315612221,0.2
-0.667076332724421,-0.663214315612221,0.2
-0.667076332724421,-0.463214315612221,0.2
-0.667076332724421,-0.463214315612221,0.2
