a,b,c,d,e,f
-0.30000001,-0.60113603,0.19850057,-0.37878248,-0.64951378,0.41270345
-0.30000001,-0.60113603,0.19850057,-0.30076146,-0.59264779,0.4619379
-0.30056852,-0.60317862,0.19845694,-0.30013606,-0.62179905,0.26307845
-0.30000001,-0.60113603,0.19849938,-0.3787806,-0.64947999,0.41277772
-0.30000001,-0.60113603,0.19849938,-0.30075806,-0.59260625,0.4620105
-0.30076522,-0.60297137,0.1984185,-0.30041668,-0.62163359,0.26304013
-0.30000001,-0.60113603,0.19850057,-0.37877384,-0.64945728,0.41285008
-0.30000001,-0.60113603,0.19850057,-0.30075189,-0.59257656,0.46208131
-0.30055234,-0.60340101,0.19844121,-0.30050048,-0.62178212,0.26302898
-0.30000001,-0.60113603,0.19850051,-0.37877393,-0.64946151,0.41285759
-0.30000001,-0.60113603,0.19850051,-0.30075163,-0.5925737,0.46209967
-0.30128664,-0.60313612,0.19844729,-0.30035669,-0.62183636,0.26305693
-0.30000001,-0.60113603,0.19850057,-0.37875995,-0.64942086,0.41295642
-0.30000001,-0.60113603,0.19850057,-0.30073935,-0.5925281,0.46217871
-0.30076724,-0.60311538,0.19845551,-0.30021271,-0.62174797,0.26307654
-0.30000001,-0.60113603,0.19850057,-0.3787508,-0.64939576,0.41303462
-0.30000001,-0.60113603,0.19850057,-0.3007319,-0.59250045,0.46224838
-0.30076903,-0.6036644,0.19844961,-0.30025932,-0.62167174,0.26305324
-0.30000001,-0.60113603,0.1984998,-0.37874255,-0.64935672,0.41313821
-0.30000001,-0.60113603,0.1984998,-0.30072415,-0.59245276,0.46233934
-0.30117133,-0.60325611,0.19846952,-0.30034143,-0.62171763,0.26309478
-0.30000001,-0.60113603,0.19850057,-0.37873161,-0.64931369,0.41325462
-0.30000001,-0.60113603,0.19850057,-0.30071557,-0.59240216,0.46244264
-0.30053684,-0.60354161,0.19846183,-0.30028623,-0.62162828,0.26310867
-0.30000001,-0.60113603,0.19849938,-0.37873155,-0.64927775,0.41333729
-0.30000001,-0.60113603,0.19849938,-0.30071571,-0.59235889,0.46251857
-0.3005034,-0.60367447,0.19845623,-0.30001828,-0.62163287,0.26309788
-0.30000001,-0.60113603,0.19850057,-0.37871081,-0.64924425,0.41345066
-0.30000001,-0.60113603,0.19850057,-0.30069688,-0.59231782,0.46261626
-0.30065781,-0.6035772,0.19848096,-0.3001467,-0.62161452,0.2631107
-0.30000001,-0.60113603,0.19849938,-0.37870023,-0.6492328,0.41350031
-0.30000001,-0.60113603,0.19849938,-0.30068833,-0.59229851,0.46266603
-0.30101064,-0.60351682,0.1984672,-0.30020264,-0.62154752,0.26312929
-0.30000001,-0.60113603,0.19849938,-0.37868595,-0.64919138,0.41360492
-0.30000001,-0.60113603,0.19849938,-0.30067456,-0.59224969,0.46275806
-0.30089012,-0.60384953,0.19849002,-0.30015731,-0.62159634,0.26313204
-0.30000001,-0.60113603,0.19849938,-0.37867698,-0.64915895,0.4136759
-0.30000001,-0.60113603,0.19849938,-0.3006677,-0.59221053,0.4628222
-0.30055144,-0.60360247,0.19849515,-0.30037668,-0.62155163,0.26313895
-0.30000001,-0.60113603,0.19850057,-0.37866035,-0.6491214,0.41377252
