a,b,c,f
0.925108142,1.100015626,-1.113443778,1.100015626
1.093704531,1.099988305,-0.606712044,1.099933664
1.107610797,1.100001966,-0.21049277,1.100015626
1.10266574,1.100015626,-0.073342571,1.100056607
1.101149438,1.075440606,-0.024602341,1.099947324
1.070864379,0.54265853,-0.003715623,1.100029287
1.501316561,0.290460625,-0.009603246,1.298883414
0.205233524,-1.099974645,-1.094196305,0.258181151
0.150496388,-1.099988305,-1.115547476,0.090021893
0.041404607,-1.099974645,-1.115738722,0.031391549
0.001529962,-1.100001966,-1.113293514,0.010941963
4.10E-05,-1.100001966,-1.113662344,0.003811246
-0.002704755,-1.099974645,-0.950461804,0.001338717
0.001488981,-1.690403518,-0.570279815,0.000724
-0.020900379,-1.099988305,-1.097966569,1.37E-05
0.022881134,-1.663478912,-1.421198442,-5.46E-05
-0.218566053,1.100015626,1.026714036,-0.258235792
-0.140428689,1.100001966,1.086450871,-0.090021893
-0.034765663,1.100001966,1.086655776,-0.031446191
-0.001652906,1.100029287,1.085112153,-0.010914642
4.10E-05,1.100001966,1.08534438,-0.003852227
-0.000805962,1.100015626,1.085562946,-0.001352377
-9.56E-05,1.100015626,1.085590267,-0.000396151
-0.000327849,1.100015626,1.085631248,-0.000177585
2.73E-05,1.100001966,1.085795172,-2.73E-05
-0.000273208,1.099974645,1.085931776,-6.83E-05
-0.004931397,1.026031017,1.087584682,4.10E-05
-0.022484983,0.454835957,1.094688079,0
0.006625283,0.158596993,1.089497135,2.73E-05
0.017389662,0.084830949,4.00598791,-0.000245887
-0.955707389,-1.099947324,1.095917513,-1.100425438
-1.088663852,-1.099947324,1.085057512,-1.100261513
-1.103567325,-1.100001966,1.083609512,-1.100206872
-1.097556758,-1.099988305,1.085385361,-1.100193211
-1.096067777,-1.100015626,1.085207776,-1.100193211
-1.096040456,-1.099988305,1.084497436,-1.100111249
-1.095999475,-1.100015626,1.084210568,-1.100179551
-1.096231701,-1.100029287,1.083882719,-1.100179551
-1.096218041,-1.099974645,1.08354121,-1.100302494
-1.095944833,-1.100015626,1.08318604,-1.10016589
-1.095644305,-1.099974645,1.082789889,-1.100111249
-1.086860682,-0.95787939,1.079238191,-1.10013857
-1.06511336,-0.383050669,1.071041964,-1.100247853
-1.086109361,-0.13358484,0.991565883,-1.100261513
-1.104195702,-0.04658189,0.432337314,-1.100302494
-1.106558947,-0.016228529,0.148351709,-1.100206872
-5.350442347,-0.008688001,0.07763193,-5.112096065
-0.86186059,-1.100015626,1.091655475,-1.100302494
-1.063610718,-1.099988305,1.081942946,-1.100097588
-1.107160004,-1.100015626,1.079279172,-1.10013857
-1.099305287,-1.100029287,0.896626253,-1.100234192
-0.909972443,-1.100015626,0.344022968,-0.657064198
-0.368201838,-1.842894321,0.178035711,-0.352096252
-0.037688984,-1.100029287,-1.090808531,5.46E-05
0.021692681,-1.094319248,-1.119536307,-4.10E-05
0.040038569,-0.611479516,-1.137731931,-0.000204906
0.004904076,-0.213197525,-1.129604006,-2.73E-05
-0.016788605,-0.074353439,-1.119754873,9.56E-05
-0.010982944,-0.039792682,-5.377025443,0.000232226
0,0,0,0
0.925203765,1.100015626,-1.113443778,1.100015626
1.093745513,1.100001966,-0.606739364,1.099974645
1.107583476,1.099974645,-0.21050643,1.099974645
1.102652079,1.099988305,-0.073356232,1.100056607
1.101190419,1.075440606,-0.024629662,1.099960985
1.070878039,0.542699511,-0.003701963,1.099974645
1.501057014,0.290474285,-0.009575925,1.298951716
0.205274505,-1.100015626,-1.094209965,0.258222132
0.150482728,-1.099988305,-1.115533816,0.090090195
0.041390946,-1.100015626,-1.115738722,0.031364229
0.001557283,-1.099988305,-1.113293514,0.010900982
5.46E-05,-1.100015626,-1.113648684,0.003811246
-0.002677434,-1.100029287,-0.950448144,0.001352377
0.001448,-1.690307895,-0.570334456,0.000655698
-0.0209277,-1.100015626,-1.097952909,2.73E-05
0.020108077,-1.663465252,-1.421198442,6.83E-05
-0.216216468,1.100015626,1.026645734,-0.258263113
-0.139759331,1.100029287,1.08643721,-0.090090195
-0.034833965,1.099988305,1.086642116,-0.031432531
-0.001748528,1.100015626,1.085098493,-0.010914642
0,1.100015626,1.085289738,-0.003865887
-0.000655698,1.100029287,1.085562946,-0.001325057
-0.000314189,1.100015626,1.085576606,-0.000437132
-0.000150264,1.100001966,1.085617587,-0.000150264
-0.000150264,1.100029287,1.085822493,-6.83E-05
-0.000122943,1.100001966,1.085959097,0
-0.004794793,1.026003696,1.087639323,-2.73E-05
-0.022498643,0.454863278,1.094715399,1.37E-05
0.006543321,0.158596993,1.089483475,-1.37E-05
0.017198416,0.084830949,4.006001571,-6.83E-05
-0.956117201,-1.099933664,1.095876532,-1.100534721
-1.088759474,-1.099974645,1.085016531,-1.100124909
-1.103553664,-1.099988305,1.083595851,-1.100220532
-1.097788985,-1.100001966,1.085480984,-1.100220532
-1.096327324,-1.100001966,1.085276078,-1.100179551
-1.096327324,-1.099988305,1.084579399,-1.100206872
-1.096313664,-1.100001966,1.084210568,-1.100179551
-1.096245362,-1.100001966,1.083882719,-1.100220532
-1.096149739,-1.100001966,1.08354121,-1.10013857
-1.095999475,-1.100015626,1.083131399,-1.100261513
-1.095944833,-1.100029287,1.08281721,-1.100234192
-1.079005964,-0.820018851,1.076478794,-1.100206872
-1.068815322,-0.2953647,1.072189436,-1.100329815
-1.091805739,-0.102985592,0.833037192,-1.100288834
-1.106176457,-0.035926795,0.305623645,-1.10015223
-4.005728363,-0.019206492,0.15885654,-3.766398535
-0.863991609,-1.100015626,1.091723777,-1.100398117
-1.064512303,-1.100029287,1.081997587,-1.100247853
-1.107310268,-1.099988305,1.079402115,-1.100179551
-1.100124909,-1.100042947,0.649059216,-1.100261513
-0.97882075,-1.100001966,0.225683111,-0.769803301
-0.473960487,-1.559127282,0.11624982,-0.417543124
-0.037607022,-1.099988305,-1.090876833,-2.73E-05
